title,url,word_count,valid_document,clean_text,useful_for_QA,noise_type,comments,text_preview
"Walking Pneumonia in Kids: Signs, Diagnosis & Treatment",https://kidshealth.org/en/parents/walking-pneumonia.html,624,yes,yes,yes,none,"Clear article about walking pneumonia signs, diagnosis, and treatment; directly useful for infection QA.","Walking Pneumonia in Kids: Signs, Diagnosis & Treatment
Also called: Atypical Pneumonia
What Is Walking Pneumonia?
Walking pneumonia is a less serious form of the lung infection pneumonia. It's often caused by bacteria called Mycoplasma pneumoniae, but other bacteria or viruses can also cause it.
Most kids with this type of pneumonia (nuh-MOH-nyuh) don't feel sick enough to stay home — hence, the name ""walking"" pneumonia. But even a child who feels fine should stay home for a few days until antibiotic treatment kicks in and symptoms improve.
What Are the Signs & Symptoms of Walking Pneumonia?
When it seems like a cold is lasting longer than 7 to 10 days, especially if a cough is getting worse or not going away, it could be walking pneumonia. Symptoms can come on suddenly or take longer to start. The symptoms are often mild, but sometimes can be more severe.
Walking pneumonia symptoms to look for:
- a fever of 101°F (38.5°C) or below
- a cough that can last for weeks to months
- fatigue (feeling very tired)
- headache, chills, sore throat, and other cold or flu-like symptoms
- ear pain
- chest pain or stomach pain
- malaise (feeling of discomfort)
- vomiting
- loss of appetite (in o"
Assistive Devices: Power Wheelchair,https://kidshealth.org/en/parents/power-wheelchair.html,97,yes,yes,partial,outside_infections_focus,Clean but very short assistive-device article; valid pediatric content but outside infections.,"What's a Power Wheelchair?
What Is a Power Wheelchair?
A power wheelchair is a supportive chair on wheels. Kids who use a power wheelchair can move around by themselves.
Is a Power Wheelchair Right for My Child?
A power wheelchair can help kids ages 5 and older who can't walk but have some control of their upper body. They also need to be able to purposely move their hands or head, follow directions, and follow safety instructions.
Are Power Wheelchairs Covered by Insurance?
Sometimes power wheelchairs are covered by insurance. Ask your child's doctor for more information."
Fanconi Anemia,https://kidshealth.org/en/parents/fanconi-anemia.html,703,yes,yes,partial,outside_infections_focus,"Valid article about inherited anemia; clean and useful for pediatric QA, but not infection-related.","Fanconi Anemia
What Is Fanconi Anemia?
Fanconi anemia is an inherited condition in which bone marrow doesn’t work as it should. It usually causes certain physical signs, such as light or dark skin patches or abnormal thumbs. People with Fanconi anemia also have a higher risk for some types of cancer. Treatment can help the bone marrow work better.
What Is Bone Marrow?
Bone marrow is the spongy part in the middle of our bones. It makes:
- to carry oxygen throughout the body
- to help fight infection
- to help blood clot
What Are the Signs & Symptoms of Fanconi Anemia?
In children who have Fanconi anemia, the bone marrow usually stops working before age 10. But sometimes this doesn’t happen until adulthood.
Symptoms of the bone marrow not working include:
- tiredness and paleness from anemia (from having too few red blood cells)
- getting a lot of infections (from low white blood cells)
- easy bruising and bleeding (from low platelets)
Signs in children with Fanconi anemia can vary. Some are there when the child is born and some develop later. They may include:
- light colored patches of skin (hypopigmentation)
- darker patches of skin (café-au-lait spots)
- problems in the bones of "
Cytomegalovirus (CMV),https://kidshealth.org/en/parents/cytomegalovirus.html,877,yes,yes,yes,none,Clear article about cytomegalovirus; directly useful for viral infection QA.,"Cytomegalovirus (CMV)
What Is Cytomegalovirus?
Cytomegalovirus (CMV) is closely related to the viruses that cause chickenpox and mononucleosis (mono). CMV infections are very common, and most of us will probably have one in our lifetimes.
Most people infected with CMV have no symptoms or only mild symptoms. In healthy kids, a CMV infection is rarely serious. Any symptoms it does cause usually are mild and temporary. But cytomegalovirus (site-uh-meg-uh-low-VY-rus) can cause problems for an unborn child whose mother has the virus and for people with weak immune systems.
What Are the Signs & Symptoms of CMV?
The symptoms of a CMV infection vary. Most babies infected before birth usually show no symptoms after delivery. But some may:
- be born early (prematurely)
- be a small size or have a low birth weight
- have jaundice
- have an enlarged liver and spleen
- have a small head (microcephaly)
- have feeding problems
These babies are also at risk for hearing, vision, neurological, and developmental problems. Even babies without clear symptoms are at risk for congenital hearing loss. CMV is the most common cause of non-genetic hearing loss at birth.
CMV infections that happen in kids aft"
What Is Herd Immunity?,https://kidshealth.org/en/parents/herd-immunity.html,520,yes,yes,yes,none,Clear article explaining herd immunity and infection prevention; useful for vaccine and public-health QA.,"What Is Herd Immunity?
Herd immunity is the idea that when many people are immune to (protected from) a contagious infection, it's harder for that infection to spread in a community.
How Do People Become Immune to Infections?
There are a few ways that a person can become immune:
- Vaccines teach the body to recognize and fight germs. When someone gets a vaccine, their body makes protective antibodies against it. These antibodies stay in the body and prevent the person from getting sick from those germs in the future. This is the best way to become immune.
- Getting infected with the virus or bacterium will also teach the body to make protective antibodies that can protect a person later on. This is an uncomfortable way to become immune because it often involves getting sick. It can also be dangerous, as some people die from infections.
- Getting antibodies that are already made is called “passive immunity.” It can be done in two ways:
- Antibody shots against specific germs can be given as protection for certain groups of people. For example, babies can get an antibody shot against RSV from birth to 8 months of age just before or during the RSV season. This is not a common way to b"
Ear Anomalies,https://kidshealth.org/en/parents/ear-anomalies.html,591,yes,yes,partial,outside_infections_focus,"Valid pediatric article about ear anomalies; clean and useful, but not infection-related.","Ear Anomalies
What Is an Ear Anomaly?
An ear anomaly is when the size or shape of the outer, middle, or inner ear is different than usual. It can change how the ear looks and how a child hears.
What Happens in an Ear Anomaly?
A child with an ear anomaly could have:
- no ear (anotia)
- a small ear (microtia)
- no ear canal (aural atresia)
- constricted ears (the outer part of the ear is either wrinkled, folded, or flat)
- a hole or bump just in front of the ear (an ear pit or ear tag)
- protruding or prominent ears (the ear sticks out)
- the top part of the ear underneath the skin (cryptotia)
- a narrow ear canal (ear canal stenosis)
Many kids with an ear anomaly of the outer ear also have problems inside the ear, like hearing loss. Ears that only stick out usually don’t cause hearing problems, but kids might feel self-conscious about them.
What Are the Signs & Symptoms of an Ear Anomaly?
Often, ear anomalies are easy to see because one or both ears look different.
If a baby has an ear anomaly that affects only the middle or inner ear, it might be found during the newborn hearing screening test. Some anomalies aren’t found until children get older and have symptoms, such as:
- many "
Medulloblastoma,https://kidshealth.org/en/parents/medulloblastoma.html,697,yes,yes,partial,outside_infections_focus,"Valid pediatric oncology article; clean and useful for general pediatric QA, but outside infections.","Medulloblastoma
What Is Medulloblastoma?
Medulloblastoma is the most common cancerous (malignant) type of brain tumor. It develops in the cerebellum, a part of the brain near the bottom of the skull.
Doctors usually treat kids who have this type of tumor with a combination of surgery, chemotherapy, and radiation therapy. Treatment has improved in recent years, and more kids are making a full recovery.
What Are the Signs & Symptoms of Medulloblastoma?
When cells grow abnormally or out of control, a tumor (a mass of cells) can form. A tumor in the brain can put pressure on areas of the brain, leading to different symptoms, such as:
- nighttime or early-morning headaches
- nausea
- vomiting
- trouble walking
- dizziness
- double vision
- clumsiness
What Causes Medulloblastoma?
Doctors don't know what causes medulloblastoma (meh-dull-oh-blas-TOE-muh). But some genetic conditions can make kids more likely to develop it. About 20% of all brain tumors in children are medulloblastomas.
How Is Medulloblastoma Diagnosed?
When doctors suspect a brain tumor, they’ll do an exam and order an imaging test of the brain, like an MRI (magnetic resonance imaging). This test lets them see inside the b"
Heat Rash (Miliaria),https://kidshealth.org/en/parents/heat-rash.html,588,yes,yes,partial,outside_infections_focus,"Clean article about heat rash; useful pediatric content, but not infection-related.","Heat Rash (Miliaria)
Also called: Prickly Heat, Sweat Rash
What Is Heat Rash (Miliaria)?
Miliaria — often called heat rash — is a skin rash that happens when sweat builds up under the skin behind blocked sweat ducts. Sweat ducts are small tubes that carry sweat from glands under the skin to the skin’s surface.
The rash can be a little itchy, but miliaria (mill-ee-AR-ee-uh) doesn’t cause other problems and isn’t serious. Keeping skin cool to ease sweating can help the rash go away within a few days.
What Causes Heat Rash?
Sweat can collect behind blocked ducts when kids sweat a lot (for example, when being physically active in hot weather) or in warm, humid weather.
Heat rash is most common in babies but can happen at any age.
What Are the Signs & Symptoms of Heat Rash?
A heat rash causes small, itchy red or clear bumps that can look like blisters. On darker skin, the rash may be harder to see and can look gray or white rather than red.
The rash most often is on the upper chest or back, the head, the arms, the neck, in body folds, or anywhere the skin doesn’t get enough air or rubs together or against tight clothing. Children also might have mild swelling in the area.
Sometimes the "
PrEP (Pre-Exposure Prophylaxis),https://kidshealth.org/en/parents/prep.html,274,yes,yes,partial,outside_infections_focus,Valid article about HIV prevention; related to infectious disease but less central for general pediatric caregiver QA.,"PrEP (Pre-Exposure Prophylaxis)
What Is PrEP?
PrEP stands for pre-exposure prophylaxis. It is when someone who does not have HIV takes medicines to lower their chances of getting HIV. Sometimes, this medicine is taken by mouth every day, and sometimes it's given as an injection every 2 months.
Who Should Take PrEP?
People at risk for HIV should take PrEP, such as those who:
- have a sexual partner who is HIV-positive
- have anal sex without a condom
- have been diagnosed with an STD (sexually transmitted disease) in the past 6 months
- have sex without a condom with people whose HIV status is not known
- share needles with others
Does PrEP Always Prevent Someone From Getting HIV?
When taken correctly, PrEP prevents HIV transmission most — but not all — of the time. In addition to taking the PrEP medicine, using a condom every time and for every form of sex (vaginal, oral, anal) helps prevent HIV and other STDs.
Does PrEP Protect People From Other STDs?
No, PrEP does not protect people from getting other STDs. So, someone taking PrEP needs to use a condom every time and for every form of sex (vaginal, oral, anal) to lower their risk of getting other STDs.
How Does Someone Get PrEP?
"
Spondyloepiphyseal Dysplasia Congenita (SEDc),https://kidshealth.org/en/parents/sedc-dysplasia.html,813,yes,minor_noise,partial,minor_text_loss,"Valid pediatric article, but the preview suggests a small extraction/wording issue; still usable.","Spondyloepiphyseal Dysplasia Congenita (SEDc)
What Is Spondyloepiphyseal Dysplasia Congenita?
Spondyloepiphyseal dysplasia congenita (SEDc) is a type of skeletal dysplasia. Skeletal dysplasias are conditions that cause problems with how and bone grow.
Spondyloepiphyseal dysplasia congenita (spon-dih-lo-eh-pih-fih-SEEL dys-PLAY-zhuh kon-JEN-ih-teh) can lead to problems with hearing and seeing.
What Are the Signs & Symptoms of SEDc?
People with SEDc have dwarfism. They might also have:
- a wide forehead and wide-set eyes
- a round face with a flattened nose and small chin
- cleft palate
- tracheomalacia (weak, floppy windpipe), which can lead to breathing problems in babies
- joint pain and stiffness
- hip problems
- flat feet
- knock-knees (knees curve in)
- curved spine
- instability of the neck bones
- vision problems
- retinal detachment (peeling of the lining of the eye)
- cataracts (clouding of the lenses in the eyes)
- frequent ear infections
- hearing loss
Most children with SEDc don’t have every sign and symptom listed here. There is a lot of variability.
What Causes SEDc?
SEDc happens because of a gene change (mutation). The changed gene causes a problem with the growth pla"
Your Child’s Development: 3 Years,https://kidshealth.org/en/parents/development-3yrs.html,260,yes,yes,partial,outside_infections_focus,Clean developmental milestone article; useful for parent QA but outside the infection-centered focus.,"Your Child’s Development: 3 Years
Doctors use certain milestones to tell if a preschooler is developing as expected. There's a wide range of what's considered normal, so some children gain skills earlier or later than others.
Kids who were born prematurely may reach milestones later. Always talk with your doctor about your child's progress.
Here are things preschoolers usually do by this age:
Communication and Language Skills
- say first name when asked
- talk with you in conversation with at least 2 back-and-forth exchanges
- ask who, where, or why questions
- say what action is happening in a picture when asked, like running, eating, or playing
- talk well enough for others to understand most of the time
Movement and Physical Development
- string items together, like large beads or macaroni
- put on some clothes by themselves
- use a fork
Social and Emotional Development
- calm down within 10 minutes after you leave
- notice other children and join them to play
Cognitive Skills (Thinking and Learning)
- draw a circle when you show them how
- avoid touching hot objects, like a stove, when you warn them
When Should I Call the Doctor?
You know your child best. So share your concerns"
Cystic Fibrosis and Nutrition,https://kidshealth.org/en/parents/cf-nutrition.html,833,yes,yes,partial,outside_infections_focus,"Valid article about cystic fibrosis nutrition; clean and useful, but outside infection-focused QA.","Cystic Fibrosis and Nutrition
What Is Cystic Fibrosis?
Cystic fibrosis (CF) is a genetic disorder that affects the body's epithelial cells. These cells are found in many places, including the sweat glands, lungs, and pancreas.
An error in the cells causes problems with the body's balance of salt and water. The body responds by making thick mucus, which blocks the lungs and sometimes other ducts and passageways, causing infections and breathing problems.
How Does Cystic Fibrosis Affect Nutrition?
The sticky mucus from cystic fibrosis can block normal absorption of key nutrients and fat in the intestines, causing:
- poor digestion
- slow growth
- trouble gaining weight
- greasy bowel movements
Why Do Some Kids Need Enzymes?
CF often causes a condition called pancreatic insufficiency. This means the enzymes made in the pancreas that digest fat, carbohydrates, and protein don't pass into the intestines as they should. So the body can't digest food normally.
To replace these enzymes, kids take pancreatic enzymes in pill form:
- Enzymes should be taken with all foods and drinks that have fat and protein.
- For babies and younger children who can't swallow pills, empty the pill's beads in"
Sever's Disease,https://kidshealth.org/en/parents/severs-disease.html,695,yes,minor_noise,partial,minor_text_loss,"Valid pediatric orthopedic article, but a minor text extraction issue appears in the preview; still usable.","Sever's Disease
What Is Sever's Disease?
Sever's disease is a swelling and irritation of the growth plate in the heel. The growth plate is a layer of near the end of a bone where most of the bone's growth happens. It is weaker and more at risk for injury than the rest of the bone.
With proper management, Sever's disease usually goes away within a few months and doesn't cause lasting problems.
What Are the Signs & Symptoms of Sever's Disease?
Sever's disease usually causes pain or tenderness in one or both heels. It also can lead to:
- swelling and redness in the heel
- stiffness in the feet when first waking up
- limping, or walking on tiptoes
- pain when the heel is squeezed on both sides
Symptoms are usually worse during or after activity and get better with rest.
What Causes Sever's Disease?
Sever's disease happens during the growth spurt of puberty. During a growth spurt, the bones, muscles, and tendons grow at different rates. The muscles and tendons can become tight, pulling on the growth plate in the heel. Activities and sports pull on the tight muscles and tendons, injuring the growth plate. This injury leads to the pain of Sever's disease.
Less often, Sever's disease can h"
Vaginal Yeast Infections,https://kidshealth.org/en/parents/yeast-infection.html,667,yes,minor_noise,yes,minor_formatting,Relevant infection article; minor punctuation/formatting noise remains but the content is usable.,"Vaginal Yeast Infections
What Are Vaginal Yeast Infections?
Yeast infections (also known as candidiasis) are common infections caused by Candida albicans yeast, which is a type of fungus Yeast infections usually happen in warm, moist parts of the body, such as the mouth, and moist areas of skin.
A yeast infection in the vagina is known as vulvovaginal candidiasis (can-dih-DYE-uh-sis). Vaginal yeast infections are common, and many girls will have one at some point. Treatment can clear up the symptoms in a couple of days and cure the infection within a week..
What Are the Signs & Symptoms of Vaginal Yeast Infections?
Vaginal yeast infections can cause:
- redness, swelling, or itching of the vulva (the folds of skin outside the vagina)
- a thick, white discharge that can look like cottage cheese
- pain or burning when urinating (peeing)
What Causes Vaginal Yeast Infections?
Having small amounts of Candida on the skin and inside the mouth, digestive tract, and vagina is normal. A healthy immune system and some ""good"" bacteria keep the amount in a person's body under control.
But yeast in the vagina can sometimes ""overgrow"" and lead to symptoms of a yeast infection. This can happen if a"
Meningococcal Vaccine for Kids & Teens,https://kidshealth.org/en/parents/meningitis-vaccine.html,1047,yes,yes,yes,none,Clear vaccine article; directly useful for infection prevention QA.,"What Are Meningococcal Vaccines?
Meningococcal (meh-nin-guh-KOK-uhl) vaccines help protect against meningococcal disease. This serious infection can lead to bacterial meningitis (swelling around the brain and spinal cord) and blood infections, which can be life-threatening if they aren’t treated quickly.
There are three types of meningococcal vaccines because different kinds of meningococcal bacteria cause meningococcal disease. The vaccines are mostly given to preteens, teens, and other people who are more likely to get the disease.
Why Are Meningococcal Vaccines Recommended?
Meningococcal vaccines help protect against meningococcal disease, which is very contagious (easy to catch from someone else). Doctors have given meningococcal vaccines to millions of people for decades, and they’re a safe and proven way to help your child’s body fight off meningococcal disease. In fact, one meningococcal vaccine (MenACWY) is part of the routine vaccine schedule.
When you get your child vaccinated with meningococcal vaccines, you’re helping prevent the spread of meningococcal disease, so you’re also protecting other people, too. This includes babies who are too young to get the vaccines, peop"
How to Safely Give Acetaminophen,https://kidshealth.org/en/parents/acetaminophen.html,866,yes,yes,yes,none,Clear article about safe acetaminophen use for fever and pain; useful for caregiver QA.,"How to Safely Give Acetaminophen
Also called: Tylenol, paracetamol, Panadol, FeverAll, Tempra
What Is Acetaminophen?
Acetaminophen (uh-see-tuh-MI-nuh-fen) is a medicine you can buy without a prescription to relieve fever and pain. It's a safe drug for many problems when used correctly.
But too high a dose can make a child very sick. Getting too much can lead to liver damage and, in rare cases, even death. So it's important to know how to safely give acetaminophen.
If you have any questions about giving acetaminophen to your child, ask your doctor or pharmacist. Never give this or any other kind of medicine to a child younger than 2 years old without getting a doctor's OK first.
Acetaminophen is the generic name of this drug. In some countries, it's called paracetamol. The most common brand name for this medicine is Tylenol®, but it is also sold under the names Panadol®, FeverAll®, and Tempra®. Generic or store brands of acetaminophen also are available.
What Types of Acetaminophen Are Available?
Many types of acetaminophen are available in different strengths, such as oral suspensions (liquid form) and drops, chewable tablets, and pills to swallow. Chewable tablets are best for chi"
